subject,predicate,object
https://example.org/woolf/place/london,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Place
https://example.org/woolf/place/london,https://schema.org/name,London
https://example.org/woolf/place/london,http://www.w3.org/2002/07/owl#sameAs,https://www.wikidata.org/wiki/Q84
https://example.org/woolf/place/london,http://www.w3.org/2002/07/owl#sameAs,https://www.geonames.org/2643743/
https://example.org/woolf/place/london,http://www.w3.org/2003/01/geo/wgs84_pos#lat,51.50853
https://example.org/woolf/place/london,http://www.w3.org/2003/01/geo/wgs84_pos#long,-0.12574
