subject,predicate,object
https://example.org/woolf/resource/fig-lh-page2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.europeana.eu/schemas/edm/WebResource
https://example.org/woolf/resource/fig-lh-page2,http://purl.org/dc/terms/title,"Manuscript Page 2 of ""To the Lighthouse"""
https://example.org/woolf/resource/fig-lh-page2,http://purl.org/dc/terms/description,This page continues the narrative development from the previous manuscript leaf. It highlights
https://example.org/woolf/resource/fig-lh-page2,https://schema.org/contentUrl,Manuscript Page 2 of To the Lighthouse.jpg
https://example.org/woolf/resource/fig-lh-page2,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.woolfonline.com/?node=content/image/gallery&project=1&parent=2&taxa=6&content=335&pos=3
