subject,predicate,object
https://example.org/woolf/resource/fig-lh-page1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.europeana.eu/schemas/edm/WebResource
https://example.org/woolf/resource/fig-lh-page1,http://purl.org/dc/terms/title,"Manuscript Page 1 of ""To the Lighthouse"""
https://example.org/woolf/resource/fig-lh-page1,http://purl.org/dc/terms/description,"This manuscript page represents an early draft of ""To the Lighthouse"". It reveals"
https://example.org/woolf/resource/fig-lh-page1,https://schema.org/contentUrl,Manuscript Page 1 of To the Lighthouse.jpg
https://example.org/woolf/resource/fig-lh-page1,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.woolfonline.com/?node=content/image/gallery&project=1&parent=2&taxa=6&content=334&pos=2
