subject,predicate,object
https://example.org/woolf/work/text-of-mrs-dalloway,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://schema.org/Book
https://example.org/woolf/work/text-of-mrs-dalloway,http://purl.org/dc/terms/title,"Text of ""Mrs. Dalloway"""
https://example.org/woolf/work/text-of-mrs-dalloway,https://schema.org/creator,https://example.org/woolf/person/virginia-woolf
https://example.org/woolf/work/text-of-mrs-dalloway,http://purl.org/dc/terms/publisher,https://example.org/woolf/org/hogarth-press
https://example.org/woolf/work/text-of-mrs-dalloway,http://purl.org/dc/terms/date,1925
https://example.org/woolf/work/text-of-mrs-dalloway,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://dbpedia.org/page/Mrs_Dalloway
https://example.org/woolf/work/text-of-mrs-dalloway,http://www.w3.org/2000/01/rdf-schema#seeAlso,https://archive.org/details/in.ernet.dli.2015.475974
